administration_id,age,lab_age,lab_age_units,monitor_size_x,monitor_size_y,sample_rate,tracker,coding_method,dataset_id,subject_id,dataset_name,sex,native_language,lab_subject_id
252,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,203,adams_marchman_2018,male,eng,11037
253,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,203,adams_marchman_2018,male,eng,11037
254,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,204,adams_marchman_2018,female,eng,11070
255,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,204,adams_marchman_2018,female,eng,11070
256,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,204,adams_marchman_2018,female,eng,11070
257,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,204,adams_marchman_2018,female,eng,11070
258,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,205,adams_marchman_2018,male,eng,11136
259,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,205,adams_marchman_2018,male,eng,11136
260,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,205,adams_marchman_2018,male,eng,11136
261,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,205,adams_marchman_2018,male,eng,11136
262,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,206,adams_marchman_2018,female,eng,11141
263,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,206,adams_marchman_2018,female,eng,11141
264,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,206,adams_marchman_2018,female,eng,11141
